Station_name,Station_shortname,USGS_ID,Lat,Lon,GaugeHeight,Disch,Disch_tdflt,Level,SpecCond,Salinity,Temperature,Turbidity,pH,DO,fDOM,RelfChl,RelfPC,NO2_NO3,fExEm,Precip,
"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",S-79,"""02292900""",26.72173357,-81.6931806,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""00400""","""00300""","""32295""","""32315""","""32321""","""99133""","""999""","""999""",
ST LUCIE CANAL ABV S-80 NR STUART FL,S-80,"""02276998""",27.10866667,-80.28725,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""00400""","""00300""","""32295""","""32315""","""32321""","""999""","""32360""","""999""",
"BOTTLE CREEK AT ROOKERY BRANCH NEAR HOMESTEAD, FL",BotCr,"""022908295""",25.46797778,-80.8545278,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"NORTH RIVER UPSTREAM OF CUTOFF NEAR FLAMINGO, FL",Flam,"""022908205""",25.3386722,-80.9132167,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"NORTHEAST SHARK RV SLOUGH NO. 4 NR COOPERTOWN, FL",SR_4,"""253828080391100""",25.6401611,-80.6527667,"""00065""","""999""","""999""","""63160""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"NORTHEAST SHARK RV SLOUGH NO. 1 NR COOPERTOWN, FL",SR_1,"""254130080380500""",25.69165,-80.6349167,"""00065""","""999""","""999""","""63160""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"MIAMI CANAL AT S-354 AND S-3 AT LAKE HARBOR, FLA",S-354,"""02286400""",26.69534407,-80.8067278,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
N NEW RIVER CANAL BELOW S351 NR SOUTH BAY FLA,S-351,"""02283500""",26.6976,-80.7128167,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"LEVEE 8 CANAL NEAR CANAL POINT, FL",LV8,"""265501080364900""",26.91719444,-80.6129444,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TAMIAMI CANAL AT S-12-D NEAR MIAMI, FL",S-12,"""254543080405401""",25.7620472,-80.6820444,"""00065""","""00060""","""72137""","""63160""","""00095""","""999""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999""",
"TAYLOR SLOUGH WETLAND AT E146 NR HOMESTEAD, FL",E-146,"""251457080395800""",25.25254167,-80.6828667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TAMIAMI CANAL OUTLETS, 40-MILE BEND TO MONROE, FL",M-40,"""02288900""",25.85176527,-80.9803467,"""00065""","""00060""","""72137""","""999""","""00095""","""999""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999""",
HILLSBORO CANAL BELOW S351 NR SOUTH BAY FLA,HillsCan,"""02280500""",26.70021389,-80.7090694,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"ST. LUCIE CANAL BLW S-308, NR PORT MAYACA (AUX) FL",S-308,"""02276877""",26.98553333,-80.6156,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999""",
"IMPERIAL RIVER NEAR BONITA SPRINGS, FL",IMPRv,"""02291500""",26.33583333,-81.74938889,"""00065""","""00060""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999""",
"BLACKWATER RIVER NEAR GOODLAND, FL",BLKRv,"""255654081350200""",25.9523611,-81.5844222,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"PUMPKIN RIVER NEAR GOODLAND, FL",PUMRv,"""255534081324000""",25.926,-81.5443056,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
FAKA-UNION RIVER NEAR THE MOUTH,FURv,"""255432081303900""",25.90880556,-81.5109167,"""00065""","""00060""","""72137""","""63160""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"EAST RIVER NEAR EVERGLADES CITY, FL",EASTRv,"""255327081275900""",25.89538889,-81.4555,"""00065""","""00060""","""72137""","""63160""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"BARRON RIVER AT EVERGLADES CITY, FL",BARRv,"""02290928""",25.8697222,-81.3825,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TURNER RIVER NR CHOKOLOSKEE ISLAND, FL",TURRv,"""02290930""",25.8286111,-81.3416667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"CHATHAM RIVER NEAR THE WATSON PLACE, FL",CHATRv,"""02290888""",25.70916667,-81.2497222,"""00065""","""00060""","""72137""","""999""","""999""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"EAST SIDE CREEK NEAR LAKE INGRAHAM, FL",ESTSDCr,"""250802081035500""",25.13696944,-81.0643806,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"ALLIGATOR CREEK NEAR GARFIELD BIGHT, FL",ALLCr,"""251032080473400""",25.17555556,-80.7927778,"""00065""","""00060""","""999""","""999""","""00095""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"MCCORMICK CREEK AT MOUTH NEAR KEY LARGO, FL",MCCr,"""251003080435500""",25.16819444,-80.73358889,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TAYLOR RIVER AT MOUTH NEAR HOMESTEAD, FL",TAYRv,"""251127080382100""",25.19059444,-80.6390528,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"MUD CREEK AT MOUTH NR HOMESTEAD, FL",MUDCr,"""251209080350100""",25.20330278,-80.5841111,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TROUT CREEK AT MOUTH NEAR KEY LARGO, FL",TRTCr,"""251253080320100""",25.2148972,-80.5335056,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"JOE BAY 2E, NEAR KEY LARGO, FL",JOBay,"""251355080312800""",25.232625,-80.5248667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"WEST HIGHWAY CREEK NEAR HOMESTEAD, FL",WHCr,"""251433080265000""",25.24210833,-80.4475722,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""00045""",
"SHARK RIVER BELOW GUNBOAT ISLAND NR FLAMINGO, FL",ShkRv,"""252230081021300""",25.3749722,-81.0366944,"""999""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
HARNEY RIVER NEAR FLAMINGO FL,HarnRv,"""252551081050900""",25.43055556,-81.0859583,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"BROAD RIVER NEAR THE CUTOFF, FL",BrdRv,"""02290878""",25.50138889,-81.0769444,"""00065""","""00060""","""72137""","""999""","""999""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"LOSTMANS RIVER BELOW SECOND BAY, FL ",LostRv,"""02290918""",25.55555556,-81.1647222,"""00065""","""00060""","""72137""","""999""","""999""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"C-8 CANAL AT NE 135 ST AT NORTH MIAMI, FL",C8Can,"""02286328""",25.9002222,-80.1949722,"""00065""","""999""","""999""","""63158""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"SNAPPER CREEK NO.5 ABV WATER PIPE NR S. MIAMI, FL",SnapCr,"""254157080213800""",25.69905556,-80.3606111,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
10B BLACK CR CANAL AT OLD CUTLER RD NR GOU,BlkCrCan,"""02290709""",25.5598611,-80.3595556,"""00065""","""999""","""999""","""63158""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"TAMIAMI CANAL NEAR CORAL GABLES, FL",TamCan,"""02289500""",25.7625,-80.3280833,"""00065""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"ST LUCIE RIVER AT SPEEDY POINT, STUART FL",StLcRvSt,"""02277100""",27.2048,-80.2587833,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"LOXAHATCHEE RIVER AT MILE 9.1 NEAR JUPITER, FL",LoxRv,"""265906080093500""",26.98528333,-80.16,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",
"THREE MILE CANAL BELOW G409 NEAR CLEWISTON, FL ",3mCan,"""02289035""",26.32719444,-80.8816111,"""00065""","""00060""","""999""","""63158""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""99133""","""999""","""999""",
"WETLAND AT S-152 OUTFLOW NEAR COOPERTOWN, FL",S-152,"""255151080371501""",25.86415,-80.6208333,"""00065""","""999""","""999""","""63158""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""",